May  6 2025 21:56:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:18-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.15.193, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-mda-spk-prod-sa-east1-01)
May  6 2025 22:14:17-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.159.57, BgpPeerLastError=67, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-prod-sa-east1-01)
May  6 2025 22:14:19-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=50, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 22:14:19-03:00 WAN-RJ-CIR-01 %%01BGP/6/GR_PEER_START(l):CID=0x801404fb;The peer was performing GR. (Peer=169.254.110.153, SourceInterface=-)
May  6 2025 22:14:19-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=50, BgpPeerState=1, LocalIfName=-, Reason=BGP remote peer not reachable, Description=cloud-router-mda-spk-devqa-sa-east1-01)
May  6 2025 22:14:16-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.219.161, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-hub-sa-east1-01)
May  6 2025 22:14:18-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.15.193, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-mda-spk-prod-sa-east1-01)
May  6 2025 22:14:19-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.110.153, InstanceId=3, BgpPeerLastError=50, BgpPeerState=1, LocalIfName=-, Reason=BGP remote peer not reachable, Description=cloud-router-mda-spk-devqa-sa-east1-01)
May  6 2025 22:14:22-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:23-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.215.249, SourceInterface=Eth-Trunk56.2042, VpnInstance=BEVrf)
May  6 2025 22:14:23-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.215.249, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:23-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.215.249, SourceInterface=Eth-Trunk56.2042, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.63.113, SourceInterface=-, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.63.113, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.63.113, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-spk-prod-us-east1-01)
May  6 2025 22:14:23-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.215.249, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-composer-sa-east1-01)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.110.153, SourceInterface=Eth-Trunk56.2058, VpnInstance=BEVrf)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=50, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.110.153, SourceInterface=Eth-Trunk56.2058, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:25-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.190.65, SourceInterface=Eth-Trunk56.2044, VpnInstance=BEVrf)
May  6 2025 22:14:25-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=50, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:25-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.190.65, SourceInterface=Eth-Trunk56.2044, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.143.1, SourceInterface=-, VpnInstance=BEVrf)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.143.1, BgpPeerLastError=60, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.143.1, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=8, SourceInterface=-)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.143.1, SourceInterface=-, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.46.169, SourceInterface=Eth-Trunk56.2060, VpnInstance=BEVrf)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.46.169, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.46.169, SourceInterface=Eth-Trunk56.2060, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:25-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=50, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-composer-us-east1-01)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.110.153, BgpPeerLastError=50, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-devqa-sa-east1-01)
May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.143.1, BgpPeerLastError=60, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-devqa-us-east1-01)
May  6 2025 22:14:17-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.159.57, InstanceId=3, BgpPeerLastError=67, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-prod-sa-east1-01) 

May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.46.169, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-devqa-us-east1-01)
May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x00f1039c;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.63.113, InstanceId=3, BgpPeerLastError=40, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-spk-prod-us-east1-01)
May  6 2025 22:14:29-03:00 WAN-RJ-CIR-01 %%01FEI_COMM/6/EVENT_LOG_FWD_FRAME_SMOOTH(l):CID=0x807f0489;The state of data-synchronize changed. (Slot=1, State=END)
May  6 2025 22:14:30-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:31-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:31-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.190.65, SourceInterface=Eth-Trunk56.2044, ErrorCode=6, SubErrorCode=7, NotifyInfo=CEASE/Connection Collision Resolution,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 22:14:31-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=67, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 22:14:31-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.190.65, BgpPeerLastError=67, BgpPeerState=1, LocalIfName=-, Reason=BGP receive notification, Description=cloud-router-hdg-composer-us-east1-01)
May  6 2025 22:14:23-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.215.249, InstanceId=3, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-composer-sa-east1-01) 

May  6 2025 22:14:24-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.110.153, InstanceId=3, BgpPeerLastError=50, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-devqa-sa-east1-01) 

May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.143.1, InstanceId=3, BgpPeerLastError=60, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-devqa-us-east1-01) 

May  6 2025 22:14:26-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.46.169, InstanceId=3, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-devqa-us-east1-01) 

May  6 2025 22:14:36-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:38-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:41-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.63.113, SourceInterface=-, VpnInstance=BEVrf)
May  6 2025 22:14:41-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.63.113, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:41-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.63.113, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=9, SourceInterface=-)
May  6 2025 22:14:41-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.63.113, SourceInterface=-, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:41-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.63.113, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-prod-us-east1-01)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.15.193, SourceInterface=-, VpnInstance=BEVrf)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.15.193, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.15.193, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=9, SourceInterface=-)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.15.193, SourceInterface=-, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.0.33, SourceInterface=Eth-Trunk56.2032, VpnInstance=BEVrf)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.0.33, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/BNM_PEER_SWITCHIN_SENDING_LIST(l):CID=0x801304fa;The BGP peer entered the batch advertisement queue. (PeerAddress=169.254.0.33, VPNInstance=BEVrf, AddressFamily=IPv4-unicast, UptPeerGrpID=9, SourceInterface=Eth-Trunk56.2032)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.0.33, SourceInterface=Eth-Trunk56.2032, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.0.33, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-tsuru-hub-us-east1-01)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.15.193, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-prod-sa-east1-01)
May  6 2025 22:14:45-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:49-03:00 WAN-RJ-CIR-01 %%01BGP/6/PEER_STATE_CHG(l):CID=0x801304fa;The state of the peer changed after receiving an event. (PrevState=OPENCONFIRM, CurrState=ESTABLISHED, InputEvent=RECV_KA, Peer=169.254.250.209, SourceInterface=Eth-Trunk56.2028, VpnInstance=BEVrf)
May  6 2025 22:14:49-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x801304fa;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.250.209, BgpPeerLastError=40, BgpPeerState=6,VpnInstance=BEVrf)
May  6 2025 22:14:49-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_SEND(l):CID=0x801304fa;Sent a NOTIFICATION to the peer. (Peer=169.254.250.209, SourceInterface=Eth-Trunk56.2028, ErrorCode=6, SubErrorCode=0,NotifyInfo=Unknown ErrCode and ErrSubcode, VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 22:14:49-03:00 WAN-RJ-CIR-01 %%01BGP/6/EOR_SENT(l):CID=0x801304fa;End-Of-Rib marker was sent to the peer. (Peer=169.254.250.209, SourceInterface=Eth-Trunk56.2028, VpnInstance=BEVrf, Address Family=IPv4-unicast)
May  6 2025 22:14:50-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.219.161, SourceInterface=Eth-Trunk56.2026, ErrorCode=6, SubErrorCode=7, NotifyInfo=CEASE/Connection Collision Resolution,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 22:14:49-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.250.209, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-hub-us-east1-01)
May  6 2025 22:14:51-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGOUT(s):CID=0x80b40471;The OPS connection was disconnected. (ServiceType=embedding-script, Reason=the client cut the OPS connection, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:41-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.63.113, InstanceId=3, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-hdg-spk-prod-us-east1-01) 

May  6 2025 22:14:52-03:00 WAN-RJ-CIR-01 %%01OPS/5/OPS_LOGIN(s):CID=0x80b40471;Succeeded in establishing the OPS connection. (ServiceType=embedding-script, UserName=_OPS_, SourceAddress=127.0.0.1, DestAddress=127.0.0.1, VpnName=_public_, AssistantName=_bgp_mtp.py)
May  6 2025 22:14:52-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.63.113, BgpPeerLastError=50, BgpPeerState=1,VpnInstance=BEVrf)
May  6 2025 22:14:52-03:00 WAN-RJ-CIR-01 %%01BGP/6/GR_PEER_START(l):CID=0x801404fb;The peer was performing GR. (Peer=169.254.63.113, SourceInterface=-)
May  6 2025 22:14:52-03:00 WAN-RJ-CIR-01 %%01BGP/2/bgpBackwardTransition_active(l):CID=0x801304fa-alarmID=0x0879000f;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.63.113, BgpPeerLastError=50, BgpPeerState=1, LocalIfName=-, Reason=BGP remote peer not reachable, Description=cloud-router-hdg-spk-prod-us-east1-01)
May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.0.33, InstanceId=3, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-tsuru-hub-us-east1-01) 

May  6 2025 22:14:43-03:00 WAN-RJ-CIR-01 %%01BGP/2/hwBgpBackwardTransition_clear(l):CID=0x801304fa-alarmID=0x00f1039c-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=169.254.15.193, InstanceId=3, BgpPeerLastError=40, BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=cloud-router-mda-spk-prod-sa-east1-01) 

May  6 2025 22:14:54-03:00 WAN-RJ-CIR-01 %%01BGP/6/NOTIFY_RECV(l):CID=0x801304fa;The router received a NOTIFICATION from the peer. (Peer=169.254.215.249, SourceInterface=Eth-Trunk56.2042, ErrorCode=4, SubErrorCode=0, NotifyInfo=Hold Timer Expired,VpnInstance=BEVrf, ErrorData=NULL)
May  6 2025 22:14:54-03:00 WAN-RJ-CIR-01 %%01BGP/2/PEER_BACKWARDTRANS_NOTIFICATION(l):CID=0x801304fa;The BGP FSM moves from a higher numbered state to a lower numbered state. (BgpPeerRemoteAddr=169.254.215.249, BgpPeerLastError=40, BgpPeerState=1,VpnInstance=BEVrf)
